0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
13	22	19	10	16	12	22	13	20	15	8	4	6	13	66	15	7	25	25	18	71	38	95	11	10	65	122	88	98	99	9	107	11	21	11	23	26	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
33.7348	9.82648	11.3851	15.6177	12.6455	14.7933	18.4376	17.2377	11.5777	13.6313	12.9594	25.9081	17.4408	8.49135	4.97955	14.7665	18.9907	11.9045	10.7525	12.5803	3.31201	3.65895	2.66476	13.8155	20.763	3.5485	2.35285	3.02054	2.9838	2.79997	20.2967	2.50832	27.645	16.9221	32.3595	13.9038	16.329	22.7153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
178.43	30.0475	95.63	69.2025	108.792	56.095	100.452	55.655	51.6325	52.0075	32.52	51.5625	29.9225	26.1225	13.9775	56.6175	56.525	73.065	65.015	93.0225	7.94	7.805	4.84	69.95	55.0875	8.38	5.405	5.755	6.0025	5.76	82.24	5.6725	86.96	34.3575	65.21	31.76	42.3675	86.505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0.2	0.21	0.22	0.195	0.27	0.2525	0.1725	0.2025	0.19	0.175	0.1925	0.22	1.435	0.255	0.2125	0.2475	1.315	0.2325	0.16	0.195	0.16	0.1925	0.165	0.23	2.3125	0.1625	0.1325	0.18	0.22	0.1675	0.19	0.1575	2.3975	5.495	15.4975	0.29	2.455	2.2275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
55.7305	10.1867	23.032	24.5029	27.4834	17.2932	25.0814	18.6002	14.9535	13.0924	13.9666	21.4366	11.0622	8.79745	4.58904	15.9048	20.1585	19.5923	15.8972	22.0104	2.53404	2.43127	1.52172	21.0211	19.9788	2.88862	1.93346	1.95725	2.15675	2.02583	30.9206	1.77808	27.4376	9.03252	17.103	8.37516	11.9763	18.3857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
47.9885	26.0136	27.2447	38.995	28.6875	25.9542	48.6477	35.4154	28.0875	30.3567	33.4188	47.725	29.1417	21.5577	12.8644	38.6167	35.5571	29.792	26.708	31.7861	11.119	11.025	9.21579	33.3	49.59	11.2285	8.37131	9.90057	9.01429	9.27879	46.8278	8.99813	28.5591	18.6262	24.8636	17.9326	16.9173	21.2206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
210.3	97.7	184.95	183.45	124.55	78.15	268.3	116	137.95	90.35	75.5	89.6	47.6	63.15	36.1	110.75	76.55	109.65	90.6	122.5	34.75	21.7	19.35	178.75	147.8	37.75	24.3	20.85	22.35	26.4	191.5	26.35	66	34.25	38.75	27.6	29.8	53.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2.9	2.2	2	2.6	2.45	2.05	2.6	2.7	2.2	2.3	3.15	3.2	7.1	2.85	2.1	2.95	6.95	2.25	2.3	2.7	1.7	2.45	2.2	3	8.95	2.05	1.6	2.6	2.2	2.15	3.2	1.7	6.8	10.75	18.1	5.8	6.9	6.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
65.4643	24.3374	44.2015	58.173	37.7529	25.0394	65.9289	34.5053	32.7924	22.6101	32.1262	36.7856	13.56	18.8657	8.34829	32.7283	23.5625	33.4892	25.9799	32.198	6.72045	5.59652	3.78988	50.8767	48.9691	7.14381	4.70044	4.42656	3.90549	4.2122	63.222	4.51244	19.7848	5.62531	6.83992	5.40361	6.49121	10.8555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0.0131824	0.0163213	0.0193486	0.0167226	0.0149374	0.025604	0.0131584	0.0156972	0.0211683	0.0169227	0.0144353	0.012894	0.020169	0.0209772	0.0291075	0.0161929	0.0145824	0.0166158	0.0152965	0.0137495	0.0288934	0.0310692	0.0335557	0.0188779	0.0135556	0.0287866	0.03175	0.0316542	0.0336981	0.0313497	0.0102865	0.0316892	0.0394495	0.0470814	0.0505611	0.0397436	0.0508226	0.0478569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0.0237812	0.0433884	0.055	0.0288462	0.0449813	0.0600833	0.0334869	0.0281065	0.0551215	0.0358253	0.0264889	0.0214844	0.0284666	0.0352074	0.0671605	0.0385073	0.0272243	0.0459259	0.0367766	0.0437758	0.0616606	0.0706361	0.0654408	0.0486111	0.0314909	0.0701963	0.0653086	0.0652469	0.0651313	0.0651879	0.0185547	0.0639995	0.0577036	0.0596791	0.061821	0.0597445	0.0618132	0.0629332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0.0040345	0.00293888	0.00279567	0.0020563	0.00290535	0.00889593	0.00139547	0.00413607	0.00271319	0.00497427	0.00490063	0.0064227	0.0131912	0.00545975	0.00692713	0.00341844	0.00440809	0.00363321	0.00407587	0.00363223	0.00563325	0.00829561	0.00540779	0.00218925	0.00252176	0.00307734	0.00779861	0.0055993	0.00470507	0.00700542	0.00224257	0.00577901	0.0063452	0.0289115	0.0317053	0.00629755	0.0340928	0.0198127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0.00649621	0.00882791	0.0128001	0.00867257	0.0115148	0.0148063	0.00783797	0.00811198	0.0137929	0.00967899	0.00857264	0.00691706	0.00660202	0.00992608	0.0137288	0.0130809	0.0095389	0.0126437	0.00925385	0.0104093	0.0152202	0.0139377	0.0173841	0.012048	0.00825965	0.0157768	0.0155433	0.016903	0.0172067	0.0162436	0.00545878	0.0152	0.0163911	0.00793668	0.0116849	0.0163011	0.00832799	0.0117755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0.581876	0.640468	0.665252	0.718361	0.575307	0.695808	0.638335	0.703512	0.696242	0.663304	0.615102	0.563721	0.76942	0.674529	0.788097	0.63031	0.666565	0.644329	0.628755	0.628557	0.859092	0.879172	0.859406	0.649753	0.649388	0.805407	0.884624	0.834855	0.825872	0.832387	0.556163	0.824424	0.820862	0.944048	0.932198	0.892077	0.928922	0.877404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
